,question,answer,doc num,sentences num,answer sentence
222,What was one of the defining ideological movements of the Twentieth Century?,The Marxist critique of capitalism,0,0,n/a
223,When did Benjamin Huntsman begin to melt blister steel in a crucible,1740,1,1,"In 1740, Benjamin Huntsman began melting blister steel in a crucible to even out the carbon content, creating the first process for the mass production of tool steel."
224,When did N Force leave Norfolk Island during the time of World War II?,February 1944,1,1,The island proved too remote to come under attack during the war and N Force left the island in February 1944.
225,When was Burke's final publication?,October 1796,0,0,n/a
226,What genre of music greatly influenced the culture in Samoa?,Hip hop,1,2,"Other successful Samoan hip hop artists include rapper Scribe, Dei Hamo, Savage and Tha Feelstyle whose music video Suamalie was filmed in Samoa."
227,What was Giovanni's mother descended from?,rural nobility,4,1,"His mother was Giudetta Alghisi, from a family of rural nobility."
228,Who broke the world record set by Jacobi's first motor?,Jacobi himself,1,1,His motor set a world record which was improved only four years later in September 1838 by Jacobi himself.
229,What do some news commentators claim is violated by the restricted immigration proposal?,bilateral agreements on the free movement of persons,0,0,n/a
230,Who was president during the March protests?,Moussa Traoré,0,0,n/a
231,What frames Midtown Raleigh?,"Glenwood/Creedmoor Road to the West, Wake Forest Road to the East, and Millbrook Road",0,0,n/a
232,"Other than time consuming, what else are nutritional studies due to their length and variable count?",expensive,5,1,"If through traffic is to have any benefit, time consuming engine switches must occur to make such connections or expensive dual mode engines must be used."
233,Who was given the special role of guardian over the Orthodox Christians in Moldavia and Wallachia?,Russia,3,2,The Russians evacuated Wallachia and Moldavia in late July 1854.
234,What is one of the largest NPOs outside of the United States?,British Wellcome Trust,1,1,"Outside the United States, another large NPO is the British Wellcome Trust, which is a ""charity"" by British usage."
235,Prose literature can be sub-divided into what formats?,"the novel, short story or drama",0,0,n/a
236,"In Avicenna's ""Floating Man"", what could the essence of a person not be?",the body,1,1,"That essence could not be the body, obviously, as the flying person has no sensation."
237,What was invented in the early Han dynasty from the small seal script?,clerical script,4,1,"For example, the orthodox character 來 lái (""come"") was written with the structure 来 in the clerical script (隶书 / 隸書, lìshū) of the Han dynasty."
238,"What is the Olympic tradition for Bermuda, regardless of season?",march in the Opening Ceremony in Bermuda shorts,1,1,"It is tradition for Bermuda to march in the Opening Ceremony in Bermuda shorts, regardless of the summer or winter Olympic celebration."
239,What is the Organisation for African Unity now known as?,the African Union,0,0,n/a
240,What became the dominant province ,towards its dominant province Holland,0,0,n/a
241,Why did Soviets create fake elections in Poland?,legitimization of Soviet annexation of eastern Poland,1,1,"The Soviets organized staged elections, the result of which was to become a legitimization of Soviet annexation of eastern Poland."
242,Who first discovered the basic properties of capacitors?,Ewald Georg von Kleist,0,0,n/a
243,What language did the important scientific works get translated into for universities and monasteries?,Latin,2,1,"At the beginning of the 13th century, there were reasonably accurate Latin translations of the main works of almost all the intellectually crucial ancient authors, allowing a sound transfer of scientific ideas via both the universities and the monasteries."
244,What age are the original DigiDestined now that they are in High School?,fourteen,1,1,"Three years later, with most of the original DigiDestined now in high school at age fourteen, the Digital World was supposedly secure and peaceful."
245,What are some distinguishing glacial features?,"crevasses, seracs",1,1,"Glaciers slowly deform and flow due to stresses induced by their weight, creating crevasses, seracs, and other distinguishing features."
246,In what year did this newspaper confer this honor on Comcast?,2009,0,0,n/a
247,What segment of the population gets the TB vaccine in countries like Canada with a very low incidence of infection?,high risk,0,0,n/a
248,What does the AAPF believe the goal of affirmative action should be?,to address race-based obstacles that block the path to success,0,0,n/a
249,Who was the long-serving president of the FA cup?,Lord Kinnaird,0,0,n/a
250,The increase in immigrants from what country in southern Europe had a notable impact on the population growth in New Haven in the early 20th century?,Italy,0,0,n/a
251,In 1685 Edict Fontainebleau by way of the French King ordered what to be done?,the suppression of French Protestantism,4,1,"The 1685 Edict of Fontainebleau, by which the French king ordered the suppression of French Protestantism, was not applied in Alsace."
252,What is the only state in India in which Carnival is celebrated?,Goa,0,0,n/a
253,What does the perpetuity view assume?,that the Baptist faith and practice has existed since the time of Christ,0,0,n/a
254,"How many child slaves were reported in cocoa, coffee and cotton farms?","15,000",2,2,"In 2001, the US State Department estimated there were 15,000 child slaves cocoa, cotton and coffee farms in the Ivory Coast, and the Chocolate Manufacturers Association acknowledged that child slavery is used in the cocoa harvest."
255,What is the largest mall in the carolinas?,SouthPark Mall,1,1,"SouthPark Mall in Charlotte is currently the largest in the Carolinas, with almost 2.0 million square feet."
256,Masakado led an uprising in what province?,Hitachi,0,0,n/a
257,How many editions did On the Origin of Species go through during Darwin's lifetime?,six editions,1,1,"During Darwin's lifetime the book went through six editions, with cumulative changes and revisions to deal with counter-arguments raised."
258,When did Gorbachev make his final Kremlin exit?,"December 25, 1991, at 7:32 p.m. Moscow time",0,0,n/a
259,How does Paul view the Resurrection of Jesus?,power of the cross,1,1,"For Paul the ""power of the cross"" is not separable from the Resurrection of Jesus."
260,"When Hong Kong was a colony of Great Britain, which body was the highest court of appeal?",the Judicial Committee of the Privy Council (JCPC),0,0,n/a
261,What will an editor do in the case where an author's work was not wiped out?,the manuscript should generally serve as copy-text,1,1,For works where an author's manuscript survived – a case Greg had not considered – Bowers concluded that the manuscript should generally serve as copy-text.
262,What company was vital in progression of quality sound recordings?,Western Electric,1,2,The intent of the new Western Electric system was to improve the overall quality of disc recording and playback.
263,In what year did the Motion Picture Production Code cease?,1968,5,1,"TCM's film content has remained mostly uncut and uncolorized (with films natively filmed or post-produced in the format being those only ones presented in color), depending upon the original content of movies, particularly movies released after the 1968 implementation of the Motion Picture Association of America's ratings system and the concurrent disestablishment of the Motion Picture Production Code."
264,What does Nyaya say causes human suffering?,mistakes/defects,3,1,It holds that human suffering results from mistakes/defects produced by activity under wrong knowledge (notions and ignorance).
265,Name the two people who's concepts of universal rights influenced the Whigs.,Locke and Algernon Sidney,2,1,"A major influence on the Whigs were the liberal political ideas of John Locke, and the concepts of universal rights employed by Locke and Algernon Sidney."
266,What is another term occasionally used to refer to A cappella?,alla breve,1,1,"The term is also used, albeit rarely, as a synonym for alla breve."
267,During what time period did the Albigensian Crusade occur?,1209–1229,3,1,"At that time the south of France was the stronghold of the Cathar or Albigensian heresy, named after the Duke of Albi, a Cathar sympathiser and opponent to the subsequent Albigensian Crusade (1209–1229)."
268,Why was a subject ordered to appear to Pop-Tanning in old trousers?,the caning would cut the cloth to shreds,4,1,"The culprit was summoned to appear in a pair of old trousers, as the caning would cut the cloth to shreds."
269,When did the Cork Tramway Company start a horse driven tram system?,1872,1,1,"A proposal to develop a horse-drawn tram (linking the city's railway termini) was made by American George Francis Train in the 1860s, and implemented in 1872 by the Cork Tramway Company."
270,What is Galicia's main mountain range?,Macizo Galaico,1,1,"The main mountain range is the Macizo Galaico (Serra do Eixe, Serra da Lastra, Serra do Courel), also known as Macizo Galaico-Leonés, located in the eastern parts, bordering with Castile and León."
271,Is USB cheaper or more expensive than PoE?,cheaper,5,1,"Due to the larger volume of demand, videocassettes quickly became much cheaper to duplicate, costing as little as $1.00 by the beginning of the 1990s."
272,By how much did foreign trade increase in Sichuan in 2008?,53.3 percent,1,1,"According to the Sichuan Department of Commerce, the province's total foreign trade was US$22.04 billion in 2008, with an annual increase of 53.3 percent."
273,What were the first 256 code points of Unicode made identical to? ,ISO-8859-1,1,1,The first 256 code points were made identical to the content of ISO-8859-1 so as to make it trivial to convert existing western text.
274,Who was Michigan's governor in 2013?,Rick Snyder,0,0,n/a
275,What areas within Greater London have city status?,the City of London and the City of Westminster,1,1,"Within London, both the City of London and the City of Westminster have city status and both the City of London and the remainder of Greater London are counties for the purposes of lieutenancies."
276,Which Prussian linguist called for an anthropology?,Wilhelm von Humboldt,5,1,"In 1795, the Prussian linguist and philosopher Wilhelm von Humboldt (1767–1835) called for an anthropology that would synthesize Kant's and Herder's interests."
277,What kind of rock art was found in the Sudan?,cattle and herdsmen,4,1,Saharan rock art of cattle and herdsmen suggests the presence of a cattle cult like those found in Sudan and other pastoral societies in Africa today.
278,How strong is the rule of law in most Asian countries?,weak or nonexistent,0,0,n/a
279,Who gained temporal power in Tibet in the 1240s?,Mongolian prince Khuden,1,1,"Mongolian prince Khuden gained temporal power in Tibet in the 1240s and sponsored Sakya Pandita, whose seat became the capital of Tibet."
280,What is 'a warmup match' another term for?,exhibition game,3,2,"Exhibition games outside of a structured season are relatively common among indoor American football leagues; because teams switch leagues frequently at that level of play, it is not uncommon to see some of the smaller leagues schedule exhibition games against teams that are from another league, about to join the league as a probational franchise, or a semi-pro outdoor team to fill holes in a schedule."
281,Who was Northwestern's first dean of women?,Frances Willard,0,0,n/a
282,How many museums does the Palais Rohan hold? ,three,1,1,"palaces), among which the Palais Rohan (1742, now housing three museums) is the most spectacular."
283,What industry are all of the Oklahoma-based Fortune 500 companies in?,energy,0,0,n/a
284,What group wanted to use violent means to over throw the British rule?,Indian National Army,0,0,n/a
285,How did Nasser respond to economic problems in Syria?,nationalized wide-ranging sectors of the Syrian economy,0,0,n/a
286,Where was the decision made for this council?,the Basilica of Saint Paul Outside the Walls,0,0,n/a
287,Time is one of the fundamental physical quantities in which two systems?,the International System of Units and International System of Quantities,0,0,n/a
288,What previously stood where the bank is now?,the former wholesale market,0,0,n/a
289,What is the largest religion in St. John's?,Christian,5,2,"Paul VI sought dialogue with the world, with other Christians, other religions, and atheists, excluding nobody."
290,What military organization did von NEumann also consult with for military aspect of nuclear weapons?,Armed Forces Special Weapons Project,0,0,n/a
291,What other Sony gaming console was Hirai setting his sales goal to beat?,PlayStation 2,0,0,n/a
292,Who exercised the power to withold royal assent in Alberta in 1937?,John C. Bowen,1,2,"The power to withhold the royal assent was exercised by Alberta's lieutenant governor, John C. Bowen, in 1937, in respect of three bills passed in the legislature dominated by William Aberhart's Social Credit party."
293,What group is an advanced observation of infinite field extensions and groups that is adapted for the needs of algebraic geometry?,the étale fundamental group,1,1,"An advanced generalization of this idea, adapted to the needs of algebraic geometry, is the étale fundamental group."
294,Who did France restore into power?,Dacko,0,0,n/a
295,What are those with asthma that is poorly controll more susceptable to? ,radiocontrast reactions,1,1,"Those with asthma, especially if it is poorly controlled, are at high risk for radiocontrast reactions."
296,What does the acronym RLV stand for?,Recordable LaserVision disc,1,2,"Another form of recordable LaserDisc that is completely playback-compatible with the LaserDisc format (unlike CRVdisc with its caddy enclosure) is the RLV, or Recordable LaserVision disc."
297,How high was public faith in the monarchy when King George assumed the throne?,low,2,1,"King George V was horrified, so the queen kept her hemline unfashionably low."
298,What does Spain's government accounts for?,"8% of public spending, 38% for the regional governments, 13% for the local councils, and the remaining 31% for the social security system",0,0,n/a
299,How many species of polychaetes have known lifecycles?,about 25%,0,0,n/a
300,"Who defined god as ""that than which nothing greater can be conceived""?",St. Anselm,1,1,"St. Anselm's approach was to define God as, ""that than which nothing greater can be conceived""."
301,What was the goal of the 2002 Philippines deployment?,combating Filipino Islamist groups,0,0,n/a
302,After how long did the government collapse?,nine months,0,0,n/a
303,Where is Estonia ranked in the 2015 Index of Economic Freedom?,8th,1,1,"The country is ranked 8th in the 2015 Index of Economic Freedom, and the 4th freest economy in Europe."
304,Which company owns and operates the Alaska United Fiber Optic System?,GCI,1,2,Alaska's internet and other data transport systems are provided largely through the two major telecommunications companies: GCI and Alaska Communications.
305,What did Paul Feyerabend ultimate do to Popper's philosophy of science?,repudiated it entirely,0,0,n/a
306,What did Bortolazzi say about the sound? ,"less pleasing...hard, zither-like tone",0,0,n/a
307,What percent of the fly genome is similar to the human genome,70%,0,0,n/a
308,Why is using racial categorization for profiling often criticized? ,perpetuating an outmoded understanding of human biological variation,1,2,"This use of racial categories is frequently criticized for perpetuating an outmoded understanding of human biological variation, and promoting stereotypes."
309,What is clothing made to order for private clients called?,haute couture,0,0,n/a
310,What is the origin of Sibyl?,Anatolia,2,2,"The inspiration oracular cult was probably introduced into Greece from Anatolia, which is the origin of Sibyl, and where existed some of the oldest oracular shrines."
311,What was thought to be the main focal point of the debate?,foreign policy,0,0,n/a
312,Which areas were involved in the ANZUS Treaty?,"Australia, New Zealand and the United States",0,0,n/a
313,When was Kato Kiyomasa in power?,the Sengoku Era,0,0,n/a
314,Which two teams would you normally separate when writing and testing software?,testing organization may be separate from the development team,1,1,"In the current culture of software development, a testing organization may be separate from the development team."
315,The rejection of the plan by the Saarlanders was interpreted as support for the Saar to do what?,join the Federal Republic of Germany.,1,1,The rejection of the plan by the Saarlanders was interpreted as support for the Saar to join the Federal Republic of Germany.
316,What does Liquidmetal Technologies use for their alloys?,zirconium,0,0,n/a
317,"Changing values of n, the Boltzmann constant, or other variables resulted in learning what about Planck's law?",Making an equation out of Planck's law that would reproduce the Rayleigh–Jeans law could not be done,1,1,"Making an equation out of Planck's law that would reproduce the Rayleigh–Jeans law could not be done by changing the values of h, of the Boltzmann constant, or of any other constant or variable in the equation."
318,What company filed for Chapter 11 bankruptcy?,Solyndra,0,0,n/a
319,Who is said to have ended the Black Death in 1624?,Santa Rosalia,0,0,n/a
320,What is the ratio of boron to potassium nitrate in green pyrotechnic flares?,75:25,1,1,Green pyrotechnic flares can use a mix ratio 75:25 of boron and potassium nitrate.
321,Zinc in the main metal used in making which american currency?,one cent coins,1,1,Zinc is the primary metal used in making American one cent coins since 1982.
322,What is another name for New Classical Architecture?,"Neo-Historicism/Revivalism, Traditionalism",0,0,n/a
323,What is the term used for books that lay out spelling rules?,pravopis,0,0,n/a
324,What times are generally reserved for local newscasts?,from 5:00 p.m. to 6:30 p.m.,0,0,n/a
325,In what era did the mountains form?,Ordovician Period,0,0,n/a
326,Who has IBM partnered with to allow retail shoppers to easily donate money?,Pennies,1,1,"Since July 2011, IBM has partnered with Pennies, the electronic charity box, and produced a software solution for IBM retail customers that provides an easy way to donate money when paying in-store by credit or debit card."
327,"Complex organisms can occupy this, that are not available to their simpler brethern?",ecological niches,0,0,n/a
328,What city did King Frederick William use to flee Prussia?,Königsberg,0,0,n/a
329,What battle did the Spanish win in 1571?,Battle of Lepanto,0,0,n/a
330,"In classical physics, an inertial reference frame is one in which an object without force does what?",does not accelerate,2,1,"In classical physics, an inertial reference frame is one in which an object that experiences no forces does not accelerate."
331,What era saw an increase in metal tool use?,Copper Age,0,0,n/a
332,Who did Hayek say should provide a safety net for society?,the state,0,0,n/a
333,What type of diet is no longer recommended?,BRAT diet,4,1,Diet restrictions such as the BRAT diet are no longer recommended.
334,How were the madaris funded during the medieval period?,through a religious endowment,0,0,n/a
335,"Along with West, Downtown and North, what is the other notable area of Miami?",South,4,1,"Its original boundaries were formed by the downtown streets of North, East, West and South streets."
336,What type of economy did Philadelphia have?,industrial,0,0,n/a
337,What secret society did Kerry join?,Skull and Bones Society,0,0,n/a
338,How high is Rajasthan ranked among domestic Indian tourists?,fourth,3,2,[citation needed] Himachal Pradesh has been ranked fourth in the list of the highest per capita incomes of Indian states.
339,What is the current Zip Code range in Guam?,96910–96932,1,1,"Postal System (postal abbreviation: GU, ZIP code range: 96910–96932), mail to Guam from the U.S. mainland is considered domestic and no additional charges are required."
340,What was instrumentalism a modification of?,James' pragmatism,0,0,n/a
341,What does Ward see as the purpose of interaction between monads?,self- betterment,0,0,n/a
342,"In Czech, what type of words do the characters ""q"", ""w"" and ""x"" exclusively appear in?",foreign,1,1,"The characters q, w and x appear only in foreign words."
343,Which type of schooling can be most expensive?,Online courses,0,0,n/a
344,Which Tennessee Senator was the only Republican first-time Senator elected in 2006?,Bob Corker,1,2,Tennessee's Bob Corker was the only freshman Republican elected to the United States Senate in the 2006 midterm elections.
345,What region's post-punk scene incorporated ideas from Theater of Cruelty?,San Francisco's,1,1,"San Francisco's vibrant post-punk scene was centered around such groups as Chrome, the Residents and Tuxedomoon, who incorporated multimedia experimentation, film and ideas from Antonin Artaud's Theater of Cruelty."
346,How close to the line of scrimmage can defensive players approach before a play is run?,one yard,1,2,unless he is within one yard of the line of scrimmage (instead of 5 yards (4.6 m) in American football).
347,Who led the British assault on Ft. Duquesne?,British Major General Edward Braddock,2,1,"In July British Major General Edward Braddock led about 2,000 army troops and provincial militia on an expedition to retake Fort Duquesne, but the expedition ended in disastrous defeat."
348,What did Feynman produce that help in understanding calculations between particles in space and time?,Feynman diagrams,1,1,"He also developed Feynman diagrams, a bookkeeping device that helps in conceptualizing and calculating interactions between particles in spacetime, including the interactions between electrons and their antimatter counterparts, positrons."
349,What is the nationality of Seham Sergewa?,Libyan,0,0,n/a
350,What date did the Evangelos Florakis Naval Base explosion occur?,11 July 2011,0,0,n/a
351,When did Spielberg buy a sled from Citizen Kane?,1982,1,1,"A collector of film memorabilia, Spielberg purchased a balsa Rosebud sled from Citizen Kane (1941) in 1982."
352,This decision reflected a revision of what?,the ASME A17.1,0,0,n/a
353,What dominates the Kuiper belt? ,Neptune's gravity,0,0,n/a
354,What is required in order for the guide rails to operate properly?,a single polarity supply,1,1,One of the guide rails is bonded to the return conventional running rails situated inside the roadway so a single polarity supply is required.
355,How does this mandate help Spanish speaking residents?,websites in Spanish to assist residents who have limited English proficiency.,1,1,"The Government of Texas, through Section 2054.116 of the Government Code, mandates that state agencies provide information on their websites in Spanish to assist residents who have limited English proficiency."
356,What Charleston Reverend established the Jenkins Orphanage?,Daniel J. Jenkins,1,2,Daniel J. Jenkins in Charleston.
357,Why did the government  and civil service not want to relocate during the war?,damage civilian morale,0,0,n/a
358,What prompts the need for formal consultation?,if the harm is believed to be likely,0,0,n/a
359,What year was the uncertainty principle formed?,"1927,",0,0,n/a
360,Which confederation defeated the Han in 200 BC?,The Xiongnu,1,2,"The Xiongnu, a nomadic steppe confederation, defeated the Han in 200 BC and forced the Han to submit as a de facto inferior partner, but continued their raids on the Han borders."
361,What script were the Birmingham Quran fragments written in?,Hijazi,0,0,n/a
362,"In the southwest, how high do temperatures get?",100 °F (37.8 °C),1,1,"The Southwest is a hot desert, with temperatures exceeding 100 °F (37.8 °C) for several weeks at a time in summer."
363,What type of paper can Photo CD images be produced on?,photographic paper,1,2,The images can also be printed out on photographic paper with a special Kodak machine.
364,Who filed a patent for the field-effect transistor?,Physicist Julius Edgar Lilienfeld,1,1,"Physicist Julius Edgar Lilienfeld filed a patent for a field-effect transistor (FET) in Canada in 1925, which was intended to be a solid-state replacement for the triode."
365,What were the military dominated governments known as?,the Beiyang government,0,0,n/a
366,When was Okinawa finally returned?,"May 15, 1972",2,1,"Okinawa was returned on May 15, 1972, but the U.S. stations troops in the island's bases as a defense for Japan."
367,"Besides low gain antennas, what is also used as driven elements in complicated higher gain types of antennas?",dipoles,1,1,"Used individually as low gain antennas, dipoles are also used as driven elements in many more complicated higher gain types of antennas."
368,What does the seed coat protect?,embryo,0,0,n/a
369,South central Hyderabad is generally the home to what attractions?,historic and tourist sites,0,0,n/a
370,In what year did Tony hawk's American Wasteland release?,2005,0,0,n/a
371,Where is the Village located at Washington University?,the northwest corner of Danforth Campus,0,0,n/a
372,What was the State Department hoping for the CIA to do?,create global political change favorable to the US,0,0,n/a
373,Who has criticized the IASP's system?,Clifford J. Woolf and others,0,0,n/a
374,What kind of database is XML?,structured document-oriented database,0,0,n/a
375,Which shopping area is on East University?,Fourth Avenue Shopping District,0,0,n/a
376,What is another name for the Armenian Revolutionary Federation?,Dashnaktsutyun,0,0,n/a
377,What can lateral gene transfer create in bacteria?,different morphologies and metabolisms,1,1,"Due to lateral gene transfer, some closely related bacteria can have very different morphologies and metabolisms."
378,What class of PCBs are even more susceptible to static than standard ones?,non-traditional,0,0,n/a
379,Whee these new inhabitants welcomed ?,Turkish invasion of Cyprus,0,0,n/a
380,When will the BBC's weekend highlights package run out?,2016,0,0,n/a
381,What year were limits placed upon plebeians that prevented them from holding more than one office concurrently?,342 BC,1,2,"Plebiscites of 342 BC placed limits on political offices; an individual could hold only one office at a time, and ten years must elapse between the end of his official term and his re-election."
382,Was Germany's declaration of war with the U.S. considered to be sound strategy?,strategic blunder,0,0,n/a
383,Why did San Diego lose its pueblo status in 1838?,its size dropped to an estimated 100 to 150 residents,1,1,"However, San Diego had been losing population throughout the 1830s and in 1838 the town lost its pueblo status because its size dropped to an estimated 100 to 150 residents."
384,What science university did Saudi Arabia establish?,King Abdullah University of Science and Technology,0,0,n/a
385,How many UNESCO World Heritage Sites does Iran have?,19,3,2,Boudhanath became a UNESCO World Heritage Site in 1979.
386,The British-Irish Council has added representatives from which parliament?,Scottish Parliament,3,2,"In 1695, the Scottish Parliament granted a charter to the Company of Scotland, which established a settlement in 1698 on the isthmus of Panama."
387,A ball cannot be received in what type of position?,offside,2,1,"Within normal play, all players are free to play the ball in any direction and move throughout the pitch, though the ball cannot be received in an offside position."
388,Who conferred primacy to the Eyre Estate of St John's Wood?,Sir John Summerson,2,1,Sir John Summerson gave primacy to the Eyre Estate of St John's Wood.
389,What were the HIV infection rates in 2007?,2%,0,0,n/a
390,"What do philosophers do, in Whitehead's view?",make metaphysical assumptions about how the universe works,1,2,"In Whitehead's view, scientists and philosophers make metaphysical assumptions about how the universe works all the time, but such assumptions are not easily seen precisely because they remain unexamined and unquestioned."
391,When was resistance first discussed as a problem in the raising of farm animals?,1977,0,0,n/a
392,How many Windows 8 editions are there?,three,0,0,n/a
393,Until what date was Swaziland bound by umchwasho?,19 August 2005,0,0,n/a
394,When was the Old Testament translated into Greek?,3rd century BCE,0,0,n/a
395,When is control turned back over to ground control?,After a plane has landed,1,1,"After a plane has landed, it will depart the runway and be returned to Ground Control."
396,Who ruled in Prince Oleg's place following his death?,his wife Olga,1,1,"Following the death of Grand Prince Igor in 945, his wife Olga ruled as regent in Kiev until their son Sviatoslav reached maturity (ca."
397,How much sooner than the Genesis did the Street Fighter II game come out for SNES?,over a year,1,1,"Nintendo however, scored an early public relations advantage by securing the first console conversion of Capcom's arcade classic Street Fighter II for SNES, which took over a year to make the transition to Genesis."
398,When did evidence of wheeled vehicles appear throughout the world?,mid 4th millennium BC,1,1,"Evidence of wheeled vehicles appeared in the mid 4th millennium BC, near-simultaneously in Mesopotamia, the Northern Caucasus (Maykop culture) and Central Europe."
399,By what means did the British govern Tuvalu?,British protectorate,0,0,n/a
400,Does everyone agree on the credit that should be given for the story of Mary's inception ?,Others have rejected that the doctrine of Immaculate Conception exists in Islam,0,0,n/a
401,What is the life expectancy in Namibia?,52.2,1,1,"In 2014 it ranked 22nd 
Life expectancy at birth is estimated to be 52.2 years in 2012 – among the lowest in the world."
402,What math competition has Russian as an official language?,International Mathematical Olympiad,0,0,n/a
403,How does the US employ the global reach capability of airlift? ,delivering forces to crisis locations,2,1,The global reach capability of airlift provides the ability to apply US power worldwide by delivering forces to crisis locations.
404,LED efficacy is inversely proportional to what?,operating temperature,1,1,"Since LED efficacy is inversely proportional to operating temperature, LED technology is well suited for supermarket freezer lighting."
405,What treaty addresses nuclear weapons?,Nuclear Non-Proliferation Treaty,0,0,n/a
406,What is the smallest bird?,bee hummingbird,0,0,n/a
407,What shape of emblem signified a Han official?,square emblem,0,0,n/a
408,What language do the Highland Quichuas speak?,Kichwa,0,0,n/a
409,In what year was the Little Red Book published?,1966,1,1,"The Little Red Book, a collection of quotations from Chairman Mao Tse-Tung, founding father of the People's Republic of China (PRC), was published in 1966 and widely distributed thereafter."
410,Who was last ruler of Ptolemaic Kingdom?,Cleopatra VII,0,0,n/a
411,When was the double indirect method invented?,1989,0,0,n/a
412,In multiple countries in Europe students can attend a university with what kind if financial burden?,without tuition fees,0,0,n/a
413,How were Roman camps laid out?,standard pattern,1,1,Roman camps followed a standard pattern for defense and religious ritual; in effect they were Rome in miniature.
414,What type of videos did youtube officially start supporting in July 2009?,3D,0,0,n/a
415,What did the court rule outlawing polygamy was?,constitutional,3,1,"Considering this, the court ruled that outlawing polygamy was constitutional."
416,Whose death caused an increase in the French civil wars?,Henry II,0,0,n/a
417,When did Brasilia's presidential residence open?,1958,0,0,n/a
418,How many tons of marble does Greece produce?,"920,000 tons",1,1,"Currently, Greece is ranked third in the European Union in the production of marble (over 920,000 tons), after Italy and Spain."
419,What is the title of seconde in command for majority party in congress?,Majority Leader,2,1,"Unlike the Majority Leader, the Minority Leader is on the ballot for Speaker of the House during the convening of the Congress."
420,What type of Armenian is spoken by Armenians in Iran and Russia?,Eastern,1,2,"They, as well as the Armenians of Iran and Russia speak the Eastern dialect of the Armenian language."
421,"What is considered the inspired, inerrant word of God?",The entire Protestant canon,3,1,"The entire Protestant canon of scripture is considered the inspired, inerrant word of God."
422,What job did Eisenhower hold after his second tenure as president of Columbia?,President of the United States,0,0,n/a
423,How many white people live in the Bronx?,"320,640",0,0,n/a
424,What is the financial incentive when a home is worth less than the mortgage loan?,foreclosure,1,1,"Falling prices also resulted in homes worth less than the mortgage loan, providing a financial incentive to enter foreclosure."
425,When did people first start arriving in the European continent?,"45,000 years ago",0,0,n/a
426,What well known socialist adopted the usage of this term in Germany?,Karl Marx,0,0,n/a
427,The collision of the Indian sub continent and the Asian plate created which mountain range?,the Himalayas,3,1,"The Tethys was later squeezed between colliding plates causing the formation of mountain ranges called the Alpide belt, from Gibraltar through the Himalayas to Indonesia—a process that began at the end of the Mesozoic and continues into the present."
428,In what year did Paris get a police force?,1667,0,0,n/a
429,After WWII criminals were largely prosecuted under CPPCG for their involvement in what massive genocidal effort?,the Holocaust,1,1,"Because the universal acceptance of international laws which in 1948 defined and forbade genocide with the promulgation of the Convention on the Prevention and Punishment of the Crime of Genocide (CPPCG), those criminals who were prosecuted after the war in international courts for taking part in the Holocaust were found guilty of crimes against humanity and other more specific crimes like murder."
430,How does the determination between Patois and Creole French usually determined?,racially,1,2,"Unlike other populations in the Caribbean, language preference between the Créole and Patois is geographically, and not racially, determined."
431,What do they want to impliment in 2016?,a 12-year system,0,0,n/a
432,How many programs did NDtv feature in 2002?,one show,0,0,n/a
433,What do groups of anthropologists object to the use of anthropology for benefit of?,the state,1,1,Professional anthropological bodies often object to the use of anthropology for the benefit of the state.
434,What did the Spanish call this region?,Montaña del Norte,0,0,n/a
435,How much of Pakistan's GDP came from Punjab in 2000?,54.7%,0,0,n/a
436,Where does the Richmind-Petersburg DMA rank in the United States?,58th,0,0,n/a
437,What does the protein hemagglutinin bind together?,red blood cells,5,1,"The ability of the viral protein hemagglutinin to bind red blood cells together into a detectable matrix may also be characterized as a biochemical test for viral infection, although strictly speaking hemagglutinin is not an enzyme and has no metabolic function."
438,What was the head of an animal displayed as?,sign of prowess,4,1,"In the 19th century, southern and central European sport hunters often pursued game only for a trophy, usually the head or pelt of an animal, which was then displayed as a sign of prowess."
